uniqueID	Date	real_match	registered_voter	weight	q1	age	sex	q4	q5	q6	q7	q8	q9	q10	q11a	q11b	q11c	q11d	q11e	q12	q13	q14	q15	q16	q17	q18	latino	race	q21	race_combine	q4_rollup	q5_rollup	q6_rollup	q7_rollup	q10_rollup	q12_rollup	surveyMode	panel_respondent	filerace	dma	clarityparty	clarityturnout	partyfile	tax_score	choice_score	church_score	enviro_score	college_score	guncontrol_score	gunowner_score	progressive_gunowner_score	tv_cable	tv_satellite	tv_broadcast	cellphone_score	commercial_party	marijuana_score	low_tv	trump_approve_score	retired_score	county_name
3397	2020-04-11	1	2	0.453554	6	90	2						0																0	1							IVR	2	1	550	1		3		1	4	1	2	1	5	1	1	4	1	1	2	1	1	4	4	
3398	2020-04-11	1	2	1.88283	3	56	1	1	9					0	2														0	2	2	9			1		IVR	2	2	517	5		3		3	2	2	3	3	1		4	1	2	1	5	3	1	2	1	
3399	2020-04-11	1	1	0.591649	4	52	1	3	1	2	2	1	1	0	1	1				9	1	2	2	1					0	2	2	1	2	2	1	4	IVR	2	2	560	5	5	1	3	3	4	3	3	5	3	2	3	2	1	1	5	4	1	1	1	WAKE
2593	2020-04-11	1	2	1.21273	2	59	1	2	0	2	2	2		2	1	2	2	2	2	9	1	2	9	2	1	2	2	1	0	1	2	9	2	2	2	4	IVR	1	1	545	3		3		2	3	2	1	3	3	2	4	2	1	1	2	2	1	3	1	
3400	2020-04-11	1	1	0.208255	4	86	1	2	0	1	1	2		0	1														0	1	2	9	2	2	1		IVR	2	1	560	1	5	3	3	1	4	1	5	1	3	1	4	2	1	1	1	1	1	5	5	WILSON
3401	2020-04-11	1	1	0.186425	3	76	1	2	9	0		2		0	1	2	2	2	2	6	1	2	9	2	1	1	2	1	1	1	2	9	1		1	3	IVR	2	1	567	5	5	1		4	3	2	3	5	3	3	3	2	1			4	1	1	5	TRANSYLVANIA
3402	2020-04-11	1	1	1.21273	3	50	1	1	9	1	2	2		0	2	2	2	2	2	9	1	2	5	3	1	2	2	1	1	1	2	9	2	2	1	4	IVR	2	1	567	5	5	1	3	3	3	3	2	4	2	1	3	2	1	2	5	4	1	2	1	HAYWOOD
3403	2020-04-11	1	1	0.208255	4	73	1	2	9	1	0	2		0	1					9	1	2	2						0	1	2	9	2	1	1	4	IVR	2	1	560	1	5	3	2	4	2	1	5	2	2	1	4	1	1	1	3	2	1	4	4	DURHAM
3404	2020-04-11	1	1	1.34369	1	61	1	3	9	1	1	1		1	1														0	2	2	9	2	2	2		IVR	2	2	560	5	5	1	3	3	3	2	2	5	2	2	3	2	1	1	5	3	1	1	1	WILSON
3405	2020-04-11	1	1	0.596515	4	48	1	6	1	5	5	1	2	0	1	2	2	2	1	9	1	2	9	2	2	1	2	1	1	1	3	1	3	3	1	4	IVR	2	1	560	4	5	1	3	2	4	1	4	2	5	2	2	4	1	1	2	3	2	2	1	PERSON
3406	2020-04-11	1	1	1.89831	3	53	1	5	1	0		2	1	0	2	2	2	2		2	1	2	2	1	1	2	2	1	2	1	3	1	1		1	2	IVR	2	1	517	5	2	1	3	3	2	3	2	2	4	1	3	2	1	2	3	4	1	2	1	ROWAN
