,uniqueID,Date,Voter File Match,Registered Voter (of Voter File Matches),weight,Q1. Health Quality,age,DEMOGRAPHICS - GENDER,Q4. Number of People in HH,Q5. Children in HH,Q6. Non-HH Face to Face Count,Q7. Six Feet Away? (If Q6 > 0),Q8. HH Member Going to Work,Q9. Children Interacting with Other Children ,Q10. Times in Group > 20 in Last Week,Family,Friends,Co-workers,"Clients, patients, or patrons",Any other type of person not already mentioned,Q12. Handwashing Count,Q13. Currently Practicing Social Distancing?,Q14. Currently Experiencing Symptoms?,Q15. Likelihood of getting Coronavirus,Q16. NC Response to Coronavirus,Q17. Changes to Routine ,Q18. College Degree,Q19. Latino,Q20. Race,Q21. Panel Willingness,Q19-20. Race + Ethnicity,Survey Mode,DEMOGRAPHICS - RACE ON FILE,MEDIA MARKET,PARTY,TURNOUT,DEMOGRAPHICS - PARTY ON FILE,tax_score,CHOICE,CHURCH ATTENDANCE,CLIMATE CHANGE PRIORITY,COLLEGE,GUN CONTROL,GUN OWNER,PROGRESSIVE GUN OWNER,tv_cable,tv_satellite,tv_broadcast,cellphone_score,commercial_party,MARIJUANA,low_tv,trump_approve_score,retired_score,county_name,Completed Survey,week,Panel Respondent,week1,week2,full_sample,close_interactions,any_close_interactions,ever_in_group,someone_working,race
2979,2891,2020-04-06,Yes,Yes,0.18874000000000002,Very Good,70,Female,,,,,,0,,,,,,,,,,,,,,,,0,Black,IVR,Black,560.0,5.0,5.0,Democrat,4.0,3.0,4.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,DURHAM,False,week2,No,False,True,1,,,,,Black
2980,2892,2020-04-06,Yes,Yes,0.178311,Good,77,Female,,,,,,0,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,560.0,3.0,5.0,Other / Unaffiliated,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,5.0,NASH,False,week2,No,False,True,1,,,,,White
2981,2893,2020-04-06,Yes,Yes,1.7036099999999998,Good,52,Female,4.0,None,0.0,,Yes,,0.0,Yes,No,No,No,Yes,8.0,Yes,3,No,Most are reacting appropriately,Small changes,Yes,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,CALDWELL,True,week2,No,False,True,1,0.0,0.0,0.0,1.0,White
2982,2894,2020-04-06,Yes,Yes,0.473584,Good,53,Female,4.0,None,0.0,,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,Black,Yes,Black,IVR,Black,560.0,5.0,5.0,Democrat,4.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,HALIFAX,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,Black
2983,2895,2020-04-06,Yes,Yes,0.24354699999999999,Good,85,Female,,,,,,0,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,MECKLENBURG,False,week2,No,False,True,1,,,,,White
2984,2896,2020-04-06,No,,0.216166,Good,70,Female,1.0,None,1.0,1.0,No,,0.0,No,No,No,No,No,9.0,No,No,Unsure,Most are reacting appropriately,Unsure,No,No,Black,No,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,Black
2985,2897,2020-04-06,No,,2.24823,Very Good,57,Male,2.0,None,0.0,,No,,0.0,Yes,No,No,No,No,6.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,White
2986,2898,2020-04-06,Yes,No,0.7158,Good,45,Male,3.0,Two,2.0,2.0,No,No,5.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,Black,Yes,Black,IVR,Caucasian,518.0,2.0,,Other / Unaffiliated,,,3.0,,2.0,,,,,,,,,,1.0,3.0,1.0,,True,week2,No,False,True,1,0.0,0.0,1.0,0.0,Black
2987,2899,2020-04-06,Yes,Yes,0.948406,Good,73,Male,2.0,None,2.0,2.0,No,,0.0,No,No,No,No,,9.0,No,No,No,Most are underestimating the risks,Large changes,Yes,No,Black,Yes,Black,IVR,Black,517.0,5.0,5.0,Democrat,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,CABARRUS,True,week2,No,False,True,1,0.0,0.0,0.0,0.0,Black
2988,2900,2020-04-06,Yes,Yes,0.32140599999999997,Fair,72,Male,2.0,None,3.0,3.0,Yes,,1.0,No,,,,,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,CATAWBA,True,week2,No,False,True,1,0.0,0.0,1.0,1.0,White
