,uniqueID,Date,Voter File Match,Registered Voter (of Voter File Matches),weight,Q1. Health Quality,age,DEMOGRAPHICS - GENDER,Q4. Number of People in HH,Q5. Children in HH,Q6. Non-HH Face to Face Count,Q7. Six Feet Away? (If Q6 > 0),Q8. HH Member Going to Work,Q9. Children Interacting with Other Children ,Q10. Times in Group > 20 in Last Week,Family,Friends,Co-workers,"Clients, patients, or patrons",Any other type of person not already mentioned,Q12. Handwashing Count,Q13. Currently Practicing Social Distancing?,Q14. Currently Experiencing Symptoms?,Q15. Likelihood of getting Coronavirus,Q16. NC Response to Coronavirus,Q17. Changes to Routine ,Q18. College Degree,Q19. Latino,Q20. Race,Q21. Panel Willingness,Q19-20. Race + Ethnicity,Survey Mode,DEMOGRAPHICS - RACE ON FILE,MEDIA MARKET,PARTY,TURNOUT,DEMOGRAPHICS - PARTY ON FILE,tax_score,CHOICE,CHURCH ATTENDANCE,CLIMATE CHANGE PRIORITY,COLLEGE,GUN CONTROL,GUN OWNER,PROGRESSIVE GUN OWNER,tv_cable,tv_satellite,tv_broadcast,cellphone_score,commercial_party,MARIJUANA,low_tv,trump_approve_score,retired_score,county_name
559,560,2020-03-30,No,,1.71375,Good,28,Female,1.0,None,4.0,4.0,No,,0.0,Yes,Yes,9,9,9,3.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,Black,No,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,
560,561,2020-03-30,Yes,Yes,0.405882,Very Good,64,Female,3.0,None,9.0,0.0,Yes,,0.0,Yes,Yes,Yes,Yes,,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,White,Yes,White,IVR,Caucasian,545.0,1.0,5.0,Republican,2.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,CRAVEN
561,562,2020-03-30,Yes,Yes,0.285488,Good,84,Female,4.0,None,0.0,,Yes,,,,,,,,8.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,1.0,5.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,CATAWBA
562,563,2020-03-30,Yes,Yes,0.449553,Good,63,Male,2.0,None,4.0,3.0,Yes,,0.0,Yes,No,No,Yes,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,545.0,5.0,5.0,Democrat,4.0,2.0,3.0,2.0,1.0,3.0,5.0,2.0,3.0,4.0,1.0,1.0,5.0,3.0,1.0,2.0,2.0,GREENE
563,564,2020-03-30,Yes,No,0.706546,Very Good,84,Female,2.0,None,3.0,7.0,No,,0.0,Yes,No,,,,9.0,Yes,No,No,Most are underestimating the risks,No real changes,Yes,No,,Yes,White,IVR,Caucasian,560.0,4.0,,Other / Unaffiliated,,,3.0,,4.0,,,,,,,,,,1.0,2.0,4.0,
567,568,2020-03-30,Yes,Yes,1.29906,Good,59,Female,2.0,None,9.0,9.0,Yes,,1.0,No,Yes,Yes,Yes,Yes,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,Another race,Yes,Another race,IVR,Other,570.0,2.0,5.0,Other / Unaffiliated,3.0,2.0,5.0,1.0,4.0,2.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,ROBESON
568,569,2020-03-30,Yes,Yes,0.316205,Good,83,Male,1.0,None,9.0,4.0,Yes,,1.0,Yes,Yes,,,,3.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,No,White,IVR,Caucasian,517.0,5.0,5.0,Democrat,3.0,5.0,3.0,4.0,4.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,5.0,MECKLENBURG
569,570,2020-03-30,Yes,Yes,0.504467,Good,50,Female,3.0,One,3.0,3.0,Yes,No,3.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are overreacting to the actual risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Democrat,3.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,ROCKINGHAM
572,573,2020-03-30,No,,1.57194,Fair,62,Male,1.0,One,0.0,,No,No,,,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,
575,576,2020-03-30,Yes,Yes,0.46174899999999997,Very Good,51,Female,2.0,None,2.0,1.0,Unsure,,0.0,Yes,,,,,9.0,Yes,No,Unsure,Most are reacting appropriately,Small changes,No,No,Another race,Yes,Another race,IVR,Other,545.0,4.0,5.0,Republican,,4.0,1.0,1.0,4.0,3.0,2.0,,4.0,,,,,3.0,1.0,2.0,1.0,CARTERET
