uniqueID	Date	real_match	registered_voter	weight	q1	age	sex	q4	q5	q6	q7	q8	q9	q10	q11a	q11b	q11c	q11d	q11e	q12	q13	q14	q15	q16	q17	q18	latino	race	q21	race_combine	q4_rollup	q5_rollup	q6_rollup	q7_rollup	q10_rollup	q12_rollup	surveyMode	panel_respondent	filerace	dma	clarityparty	clarityturnout	partyfile	tax_score	choice_score	church_score	enviro_score	college_score	guncontrol_score	gunowner_score	progressive_gunowner_score	tv_cable	tv_satellite	tv_broadcast	cellphone_score	commercial_party	marijuana_score	low_tv	trump_approve_score	retired_score	county_name
4821	2020-04-18	1	1	0.653434	2	77	2	2	9	9	9	9		5	1														0	9	2	9	4	4	3		IVR	2	4	560	5	4	1	3	4	2	2	1	4	4	3	3	3	1	1	5	3	1	1	5	HALIFAX
4822	2020-04-18	1	1	0.669297	4	58	1	3	9	4	4	2		0	1	2	2	2	1	9	1	2	9	2	1	1	2	1	1	1	2	9	3	3	1	4	IVR	2	1	560	5	5	1	5	5	3	3	5	5	3	3	5	2	1	1	4	4	2	1	1	WAKE
4823	2020-04-18	1	1	0.543355	3	84	2	1	9	0		2		0	2	2	2												0	1	2	9	1		1		IVR	2	1	545	5	5	1	5	1	4	2	2	3	4	3	3	3	1	1	5	2	1	1	5	BERTIE
4824	2020-04-18	1	1	0.706154	4	55	2	2	9	5	5	1		1	1	2	2	2	2	9	1	2	1	1	2	1	2	2	1	2	2	9	3	3	2	4	IVR	2	2	518	5	5	1	3	4	4	3	3	4	3	2	3	2	1	1	5	4	1	1	1	GUILFORD
4825	2020-04-18	1	1	0.669297	4	62	1	2	9	9	9	1		2	1	2	1	1	2	9	1	2	9	1	2	1	2	1	1	1	2	9	4	4	2	4	IVR	2	1	560	1	5	3		4	2	1	5	4	3	2	4	2	1			4	1	4	2	MOORE
2104	2020-04-18	1	1	0.225545	2	73	1	2	9	1	1	1		1	1	2	2	2	2	9	1	2	2	3	1	1	2	1	1	1	2	9	2	2	2	4	IVR	1	1	518	1	5	2	2	2	4	1	2	1	4	1	3	2	1	1	3	2	1	5	4	GUILFORD
4826	2020-04-18	1	1	0.706154	4	51	2	9	3	9	0	1	9	1	1		1			9	1	2	2	3	1	1	2	9	0	9	4	3	4	1	2	4	IVR	2	1	518	1	5	2	2	2	4	1	4	1	5	1	3	3	1	1	1	2	2	5	1	YADKIN
4827	2020-04-18	1	1	0.430899	2	73	1	2	9	3	2	2		0	1	1				9	1	2	2	2	9	2	2	2	1	2	2	9	2	2	1	4	IVR	2	2	545	5	5	1	3	3	3	2	2	3	4	3	1	4	1	1	5	4	1	1	4	CRAVEN
4828	2020-04-18	1	1	0.312931	3	71	2	3	9	0		2		0	2	2	2	2	2	9	1	2	9	2	1	1	2	1	1	1	2	9	1		1	4	IVR	2	1	560	1	5	2	2	2	4	1	5	1	4	1	4	2	1	1	1	2	1	5	3	WAKE
4829	2020-04-18	1	1	1.43663	2	52	1						0																0	1							IVR	2	1	560	1	5	3		2	4	1	1	2	4	1	1	3	1	1	2	4	1	5	1	NASH
4830	2020-04-18	1	1	0.206359	4	81	1	3	9	1	1	9		0	3					9	1	2	2	2	2	1	2	1	2	1	2	9	2	2	1	4	IVR	2	1	567	1	5	2	2	1	5	1	4	1	4	1	3	3	1	1	2	1	1	5	5	JACKSON
3973	2020-04-18	1	1	1.43663	3	48	1	2	9	1	1	1		0	1			6		5	1	2	9	2	2	2	2	1	1	1	2	9	2	2	1	3	IVR	1	1	560	2	5	3	3	2	3	1	2	1	4	1	3	3	1	1	4	4	1	4	1	HARNETT
4831	2020-04-18	1	1	0.54757	2	74	1						0																0	1							IVR	2	1	560	5	5	1	3	2	4	2	1	2	5	2	2	4	1	1	3	2	1	1	4	MOORE
