uniqueID	Date	real_match	registered_voter	weight	q1	age	sex	q4	q5	q6	q7	q8	q9	q10	q11a	q11b	q11c	q11d	q11e	q12	q13	q14	q15	q16	q17	q18	latino	race	q21	race_combine	q4_rollup	q5_rollup	q6_rollup	q7_rollup	q10_rollup	q12_rollup	surveyMode	panel_respondent	filerace	dma	clarityparty	clarityturnout	partyfile	tax_score	choice_score	church_score	enviro_score	college_score	guncontrol_score	gunowner_score	progressive_gunowner_score	tv_cable	tv_satellite	tv_broadcast	cellphone_score	commercial_party	marijuana_score	low_tv	trump_approve_score	retired_score	county_name
4832	2020-04-18	2		0.573737	4	85	1	1	9	0		2		0	2	2	2	2	5	9	1	2	2	2	3	2	2	1	1	1	2	9	1		1	4	IVR	2																							
4833	2020-04-18	1	1	0.255102	4	70	1	1	9	0		2		0	2	2	2	2	2	9	1	2	2	2	1	1	2		0	1	2	9	1		1	4	IVR	2	1	560	1	5	3	1	2	4	1	3	1	3	1	3	2	1	1	1	3	1	5	4	MOORE
828	2020-04-18	1	1	1.12233	4	43	1	2					0																0	2	2						IVR	1	2	560	5	5	1	3	4	3	4	5	5	2	2	3	2	1	1	5	4	2	1	1	WAKE
3926	2020-04-18	2		0.573737	2	65	1	1	9	1	1	2		0	1					5	1	2	2	2	1	2	2	1	1	1	2	9	2	2	1	3	IVR	1																							
4834	2020-04-18	1	1	0.703798	3	76	2	1	9	0		2		2	2	2	2	2	2	9	1	2	2	2	2	2	2	1	2	1	2	9	1		2	4	IVR	2	1	517	5	5	1	3	3	3	2	3	3	3	2	4	2	1	1	4	3	1	2	4	GASTON
4835	2020-04-18	1	1	0.860254	2	58	2	1	9	1	1	2		0	2	1	2	2	2	9	1	1	1	1	1	1	2	1	1	1	2	9	2	2	1	4	IVR	2	1	517	5	5	3	3	5	2	3	4	3	5	3	3	3	1	1	5	5	1	2	1	WATAUGA
4836	2020-04-18	1	1	0.532681	2	70	1	2	9	2	2	2		0	1	2	2	2	2	9	1	2	9	2	1	2	2	2	2	2	2	9	2	2	1	4	IVR	2	2	560	5	5	1	3	1	4	2	2	4	5	3	1	4	1	1	5	2	1	1	4	CHATHAM
4837	2020-04-18	1	1	0.255102	3	86	1	2	9	1	0	2		0	1	2	2	2	2	4	1	2	2	2	3	1	2	1	2	1	2	9	2	1	1	3	IVR	2	1	560	5	5	1	3	5	4	4	2	5	2	2	4	1	1	1	5	3	1	1	5	DURHAM
2343	2020-04-18	1	1	0.575658	4	63	1	2	9	1	1	1		0	1	2	2	2	2	9	1	2	2	1	1	1	2	2	1	2	2	9	2	2	1	4	IVR	1	2	518	5	5	1	5	4	4	4	5	5	2	2	4	2	1	1	5	4	1	1	2	GUILFORD
739	2020-04-18	2		1.51574	4	59	2	1	9	9	0	2		0	2	2	2	2	2	9	1	2	2	1	1	2	2	2	1	2	2	9	4	1	1	4	IVR	1																							
4838	2020-04-18	1	1	0.543355	4	67	2	1	9	1	1	2		1	2	2	2	2	2	7	2	2	9	2	3	2	2	1	2	1	2	9	2	2	2	4	IVR	2	1	550	5	5	1		4	1	3	3	4	2	2	4	1	1	2	2	5	1	1	4	NEW HANOVER
2590	2020-04-18	1	1	0.442944	2	84	1						0																0	1							IVR	1	1	545	1	3	2	3	1	4	1	1	1	4	1	3	3	1	1	1	2	1	5	5	LENOIR
4839	2020-04-18	1	1	0.430899	3	65	1	2	9	4	2	1		0	2	2	2	2	2	9	1	2	9	3	2	2	2	9	1	9	2	9	3	2	1	4	IVR	2	4	570	5	5	1	5	2	4	1	2	2	4	1	4	2	1	1	4	3	1	3	3	ROBESON
4840	2020-04-18	1	1	1.13052	3	55	1	1	9	1	1	2		1	1	1				9	1	2	9	2	2	2	2	2	1	2	2	9	2	2	2	4	IVR	2	2	545	5	4	1	3	3	3	2	2	5	2	2	3	2	1	1	5	4	1	1	1	PITT
4841	2020-04-18	1	1	0.591749	3	56	1	3					0																0	1	2						IVR	2	1	518	1	5	2	2	1	4	1	4	1	4	1	3	3	1	1	1	3	1	5	1	RANDOLPH
4842	2020-04-18	1	1	0.664144	4	62	2	2	9	1	0	2		0	1	2	2	2	2	9	1	2	9	1	1	1	2	1	1	1	2	9	2	1	1	4	IVR	2	1	567	5	5	3	3	3	4	2	2	2	5	1	1	4	1	1	5	4	1	1	2	MITCHELL
4843	2020-04-18	2		0.543355	3	67	2	3	9	0		2		0	2	2	2	2	2	9	1	2	2	1	1	2	2	1	1	1	2	9	1		1	4	IVR	2																							
842	2020-04-18	1	1	0.541411	2	49	1						0																0	1							IVR	1	1	567	5	5	1	3	5	3	4	4	5	2	2	4	2	1	1	5	5	2	1	1	BUNCOMBE
4844	2020-04-18	1	1	2.40906	4	44	1	3	9	2	2	2		0	1	1	2	2	2	9	1	2	2	1	1	2	2	2	2	2	2	9	2	2	1	4	IVR	2	2	560	5	2	3			3		3										1	2	1	CUMBERLAND
4307	2020-04-18	1	1	0.593873	2	81	2	2	9	1	1	1		1	1	1	2	1	2	9	1	2	9	2	2	2	2	1	2	1	2	9	2	2	2	4	IVR	1	1	518	1	5	2	2	2	3	1	1	1	5	1	2	3	1	1	1	1	1	5	5	ALAMANCE
4845	2020-04-18	1	1	0.82102	4	59	2	3	1	9	9	1	1	0	1	2	2	2	2	9	1	2	9	1	1	1	2	1	1	1	2	1	4	4	1	4	IVR	2	1	560	5	5	1	3	5	3	3	3	3	3	2	2	2	1	1	4	5	2	1	1	ORANGE
4846	2020-04-18	1	1	0.200747	3	65	1	2	9	1	2	1		0	1	2	2	2	2	9	1	2	9	2	1	1	2	2	1	2	2	9	2	2	1	4	IVR	2	2	544	5	5	1	3	4	4	3	5	5	3	3	4	2	1	1	5	4	1	1	3	PASQUOTANK
4847	2020-04-18	1	1	0.255102	3	83	1	2	9	0		2		0	1	1				6	1	2	2	2	1	1	2	1	1	1	2	9	1		1	3	IVR	2	1	560	1	5	2	3	1	5	1	5	2	4	1	4	1	1	1	1	1	1	5	5	WAKE
4848	2020-04-18	1	1	1.3868	2	62	2	2	9	3	3	1		1															0	2	2	9	2	2	2		IVR	2	2	570	5	5	1	5	3	4	3	2	3	3	2	4	4	1	1	4	4	1	1	2	SCOTLAND
4849	2020-04-18	1	1	1.27017	3	64	1	3	9	1	1	1		9	1	2	2	2	2	9	2	2	2	1	1	2	2	1	1	1	2	9	2	2	4	4	IVR	2	1	518	1	5	2	2	2	4	1	2	1	3	1	3	2	1	1	1	4	1	4	3	GUILFORD
4850	2020-04-18	1	1	0.651097	4	62	1						0																0	2							IVR	2	2	560	5	2	3			3		3										1	1	2	DURHAM
4851	2020-04-18	2		0.248165	3	65	1	1	5	2	1	2		1	2	2	2	2	2	9	1	2	9	2	2	1	2	2	1	2	2		2	2	2	4	IVR	2																							
4852	2020-04-18	1	1	0.267293	3	72	1	1	9	0		2		0	2	2	2	2	2	9	1	2	9	1	1	1	2	1	1	1	2	9	1		1	4	IVR	2	1	517	5	5	3	3	3	4	3	5	4	1	1	4	1	1	1	5	3	1	1	5	MECKLENBURG
3	2020-04-18	1	2	1.43663	3	57	1	2	9	9	0	1		9	1	2	2	2	2	9	1	2	9	1	2	2	2	1	1	1	2	9	4	1	4	4	IVR	1	1	560	4		3		2	4	1	2	3	4	2	2	3	1	1	1	3	1	3	1	
4853	2020-04-18	2		1.55811	3	49	2	2	9	7	5	1		0	1					5	1	2	1	2	1	2	2	1	1	1	2	9	4	3	1	3	IVR	2																							
4854	2020-04-18	1	1	1.43663	3	56	1	3	9																				0	1	2	9					IVR	2	1	560	1	5	2	2	2	4	1	3	1	4	1	3	3	1	1	4	2	1	5	1	EDGECOMBE
4855	2020-04-18	1	1	0.312931	3	92	2	2	9	0		2		0	2	2	2	2		9	1	2	9	2	1	1	2	1	1	1	2	9	1		1	4	IVR	2	1	560	5	5	1	5	5	3	4	3	5	2	1	4	1	1	1	5	3	1	1	5	DURHAM
4856	2020-04-18	1	2	1.1537	4	36	1	6	3	6	6																		0	1	3	3	3	3			IVR	2	1	560	3		3			3		3										1	3	1	
632	2020-04-18	1	1	0.430899	3	68	1	1	9	7	7	1		3	2	2	2	2	2	4	1	2	9	1	1	2	2	2	1	2	2	9	4	4	2	3	IVR	1	2	570	5	5	1	5	2	4	2	2	5	2	2	4	2	1	1	5	4	1	1	4	ROBESON
4857	2020-04-18	1	1	1.50528	4	56	1	2	9	0		2		0	2	2	2	2	2	9	1	2	2	2	2	2	2	1	1	1	2	9	1		1	4	IVR	2	1	517	5	5	1	3	4	4	2	2	2	5	2	1	4	1	1	3	4	2	1	1	ASHE
4350	2020-04-18	1	1	0.276673	2	88	2	2	0	4	5	2		0	1	2			1	3	1	2	2	2	2	1	2	1	0	1	2	9	3	3	1	2	IVR	1	1	518	1	5	2	2	2	4	1	4	1	4	1	4	1	1	1	1	1	1	5	5	GUILFORD
4858	2020-04-18	1	1	0.573737	3	85	1	2	9	0		1		0	2	2	2	2	2	9	1	2	2	2	1	2	2	1	1	1	2	9	1		1	4	IVR	2	1	517	5	5	3	2	1	4	2	2	3	4	2	1	3	1	1	1	2	1	2	5	ROWAN
4859	2020-04-18	1	1	0.442944	4	68	1	1	9	1	0	1																	0	1	2	9	2	1			IVR	2	1	545	1	5	2	2	2	2	1	2	1	2	1	5	2	1	1	3	4	1	4	4	PITT
4860	2020-04-18	1	1	0.532681	3	85	1	9	5	9	9	9		9															0	2	4		4	4	4		IVR	2	2	560	5	5	1	3	3	4	2	2	3	3	2	3	2	1	1	5	2	1	1	4	HOKE
4861	2020-04-18	1	1	1.51574	4	51	2	5	1	4	4	1	2	4															0	2	3	1	3	3	3		IVR	2	2	518	5	5	1	5	3	4	2	2	3	3	2	3	2	1	1	4	4	1	1	1	GUILFORD
4862	2020-04-18	1	1	0.484126	2	77	1	1	9	0		2		0	2	2	2	2	2	7	2	2	2	2	1	2	2	1	1	1	2	9	1		1	4	IVR	2	1	518	1	4	2	3	2	3	1	2	1	3	1	3	2	1	1	1	2	1	5	5	RANDOLPH
4863	2020-04-18	1	1	1.13052	2	60	1	2	9	4	0	2		0	1	1	2	2	2	9	1	2	2	1	1	2	2	2	1	2	2	9	3	1	1	4	IVR	2	2	545	5	5	1	3	3	3	2	2	4	4	3	3	3	1	1	5	3	1	1	1	LENOIR
4864	2020-04-18	1	1	0.442944	3	66	1	2	9	2	0	2		0	2	2	2	2	2	9	1	2	9	1	1	2	2	1	1	1	2	9	2	1	1	4	IVR	2	1	550	1	5	2	3	1	5	1	2	1	5	1	1	4	1	1	1	2	1	5	3	BRUNSWICK
1655	2020-04-18	1	1	0.200747	3	69	1	2	9	2	2	2		0	1					9	1	2	9	1	1	1	2	2	0	2	2	9	2	2	1	4	IVR	1	2	550	5	5	1	3	3	4	3	2	5	3	3	3	2	1	1	5	3	1	1	4	NEW HANOVER
319	2020-04-18	1	1	1.50528	3	63	1	4	2	0		1	2	0	1	2	2	2	2	1	1	2	9	2	2	2	2	1	0	1	3	2	1		1	2	IVR	1	1	517	1	5	2	2	1	5	1	1	1	5	1	3	2	1	1	1	2	1	5	2	CALDWELL
4865	2020-04-18	1	1	1.7623	1	55	2	8	2	1	1	2	2	0	2	1	2	1	2	9	1	2	9	2	1	2	2	1	2	1	4	2	2	2	1	4	IVR	2	1	560	1	5	3	2	1	4	1	4	1	4	1	1	3	1	1	1	3	1	5	1	NASH
4866	2020-04-18	1	1	0.253138	4	76	2	2	9	2	2	1		0	1	1				9	1	2	2	2	2	1	2	1	1	1	2	9	2	2	1	4	IVR	2	1	550	2	5	2	3	4	4	2	3	3	3	2	3	2	1	1	4	4	1	3	5	PENDER
2033	2020-04-18	1	1	0.54757	2	72	1	2	9	2	1	2		0	1	2	2	2	2	8	1	2	9	1	1	2	2	1	1	1	2	9	2	2	1	4	IVR	1	1	560	1	5	2	3	1	4	1	3	1	3	1	3	2	1	1	2	3	1	5	4	NASH
4867	2020-04-18	1	1	1.16213	3	64	1	2	9	0		1		9	2	1	2	2	2	3	1	9	2	1	1	2	2	1	1	1	2	9	1		4	2	IVR	2	1	550	5	5	1	3	4	1	2	2	3	2	1	4	2	1	1	3	5	1	1	3	NEW HANOVER
4868	2020-04-18	1	2	0.248165	3	71	1	3	9	0		1		0	2	2	2	2	2	9	1	2	2	1	1	1	2	2	1	2	2	9	1		1	4	IVR	2	1	560	5		3		3	4	2	5	4	2	2	4	2	1			3	1	2	3	
4869	2020-04-18	1	1	1.23563	3	61	1	2	9	2	3	1		1	1														0	2	2	9	2	2	2		IVR	2	2	518	5	5	1	3	2	4	2	2	3	4	2	2	4	1	1	5	3	1	1	2	CASWELL
4870	2020-04-18	1	1	0.82102	4	59	2	5	2	5	5	1	1	1	2	2	2	2	2	7	1	2	2	3	2	1	2	1	1	1	3	2	3	3	2	4	IVR	2	1	560	1	5	3	1	1	4	1	2	1	4	1	3	3	1	1	2	3	1	5	1	HARNETT
4871	2020-04-18	1	1	0.82102	4	54	2	4	9	9	9	1		0	1	1	2	2	1	9	1	2	1	2	1	1	2	1	1	1	3	9	4	4	1	4	IVR	2	1	560	5	5	3	3	4	2	4	5	5	2	2	4	2	1	1	5	5	3	1	1	DURHAM
4872	2020-04-18	2		0.318969	1	82	2	3	9	2	0	2		0	1	1	1	1	1	9	1	2	2	2	1	1	2	2	1	2	2	9	2	1	1	4	IVR	2																							
4873	2020-04-18	2		0.669297	1	59	1	2	9											7	1	2	2	3	1	1	2	1	2	1	2	9				4	IVR	2																							
1740	2020-04-18	1	2	0.248165	4	75	1	3	1	0		2	1	0	2	2	2	2	2	9	1	2	1	2	1	1	2	2	1	2	2	1	1		1	4	IVR	1	1	560	4		3		3	3	2	2	4	3	2	4					3	1	3	4	
1672	2020-04-18	1	2	0.442944	4	79	1	1	2	9	9	2	2	9	2	2	2	2	2	9	1	2	2	2	2	2	2		1	1	2	2	4	4	4	4	IVR	1	1	550	3		3		2	3	1	1	3	2	1	3	2	1	1	4	1	1	3	5	
4242	2020-04-18	2		0.430899	2	69	1	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	IVR	1																							
4874	2020-04-18	1	1	1.27017	3	62	1	1	9	1	1	2		0	2	2	2	2	2	9	1	2	2	2	1	2	2	1	1	1	2	9	2	2	1	4	IVR	2	1	518	5	5	1	3	4	5	2	3	4	4	3	2	3	1	1	5	4	2	1	2	YADKIN
4875	2020-04-18	1	1	0.669297	3	63	1	3	9	0		2		0	1	2	2	2	2	9	1	2	9	9	1	1	2	1	1	1	2	9	1		1	4	IVR	2	1	560	1	5	3	2	2	3	1	2	1	5	1	1	3	1	1	3	4	1	4	2	PERSON
4876	2020-04-18	1	1	0.484126	3	72	1	2	9	4	3	9		2	2														0	1	2	9	3	2	2		IVR	2	1	518	1	5	2	2	1	5	1	2	1	4	1	2	3	1	1	2	2	1	5	4	YADKIN
350	2020-04-18	1	1	0.573737	3	82	1	4	9	1	1	1		0	1	2	2	2	2	9	1	2	2	2	1	2	2	1	1	1	3	9	2	2	1	4	IVR	1	1	517	1	5	2	2	1	5	1	2	1	5	1	3	1	1	1	1	1	2	5	5	CLEVELAND
4877	2020-04-18	1	1	0.442944	3	81	1	5	2	0		2	2																0	1	3	2	1				IVR	2	1	545	1	5	2	2	1	5	1	1	1	5	1	3	3	1	1	1	1	1	5	5	PITT
4878	2020-04-18	2		0.225545	3	71	1	2	9	8	9	9		1	1	2	2	2	1	5	1	2	2	2	2	1	2	1	1	1	2	9	4	4	2	3	IVR	2																							
4879	2020-04-18	1	1	1.39756	3	61	1	3	9	0		1		0	2	1	1	1	1	9	1	2	9	1	1	2	2	2	1	2	2	9	1		1	4	IVR	2	2	560	5	5	1	3	2	4	2	1	3	5	2	2	3	1	1	5	3	1	1	2	CUMBERLAND
4880	2020-04-18	2		0.267293	3	92	1	3	9	1	9	2		1	1	1	1	1	1	9	1	1	3	2	3	1	2	1	1	1	2	9	2	4	2	4	IVR	2																							
4881	2020-04-18	1	1	1.50528	2	58	1	2	9	1	1	2		1	1	2	2	2	2	9	1	2	2	1	1	2	2	1	1	1	2	9	2	2	2	4	IVR	2	4	517	5	5	1	4	3	3	3	3	5	3	2	3	2	1	1	5	4	1	1	2	LINCOLN
4882	2020-04-18	1	1	0.532681	3	75	1	5	2	5	4	2		3	2	1													0	2	3	2	3	3	2		IVR	2	2	560	5	5	1	5	3	4	3	3	5	3	3	3	2	1	1	4	2	1	1	4	HOKE
4883	2020-04-18	1	1	0.484126	4	78	1	1	9	6	1	1		1	2	2	2	2	2	7	1	2	2	2	1	2	2	1	1	1	2	9	3	2	2	4	IVR	2	1	518	5	5	1	3	3	3	3	2	5	3	2	4	2	1	1	5	3	1	1	5	FORSYTH
1709	2020-04-18	1	1	1.16213	2	52	1	3	1	5	5	2	2	1	1	2	2	2	2	9	1	2	9	1	1	2	2	1	2	1	2	1	3	3	2	4	IVR	1	1	567	1	5	2	1	1	4	1	1	1	5	1	1	4	1	1	1	2	1	5	1	GRAHAM
4884	2020-04-18	1	1	0.312931	3	70	2	2	9	2	2	2		0	1	2	2	2	2	9	1	2	9	1	1	1	2	1	1	1	2	9	2	2	1	4	IVR	2	1	560	5	5	3	3	4	3	3	5	5	3	3	3	2	1	1	3	4	1	1	3	DURHAM
4885	2020-04-18	1	1	0.541411	3	47	1	5	2																				0	1	3	2					IVR	2	1	524	1	5	3	5	1	5	1	4	3	4	2	2	4	1	1	3	3	2	4	1	CLAY
2802	2020-04-18	2		0.484126	2	73	1	2	9	0		2		0	2	2	2	2	2	9	1	2	9	1	1	2	2	1	1	1	2	9	1		1	4	IVR	1																							
4886	2020-04-18	1	1	0.671699	4	76	2	2	0	0		1		0	1	1	2	1	2	6	1	2	2	2	2	2	2	1	2	1	2	9	1		1	3	IVR	2	1	560	1	5	2		3	4	1	2	2	4	1	4	3	1	1	1	2	1	5	4	CHATHAM
4887	2020-04-18	1	1	0.543355	4	72	2	2	9	0		2		0	2	2	2	2	2	3	1	2	2	2	3	2	2	1	1	1	2	9	1		1	2	IVR	2	1	545	1	4	2	3	1	4	1	2	1	4	1	4	3	1	1	1	2	1	5	4	CARTERET
4888	2020-04-18	1	2	0.671699	4	72	2						0																0	1							IVR	2	1	560	3		3		3	2	2	2	2	3	1	3	2	1	1	4	3	1	3	3	
4889	2020-04-18	1	1	0.669297	4	55	1	2	9	1	1	2		2	1	2	2	2	2	9	1	2	2	2	1	1	2	1	2	1	2	9	2	2	2	4	IVR	2	1	560	1	5	2	2	2	4	1	5	1	3	1	4	1	1	1	1	2	2	5	1	WAKE
4890	2020-04-18	1	1	0.248165	3	79	1	1	9	1	1																		0	2	2	9	2	2			IVR	2	2	560	5	5	1	3	3	4	3	5	5	2	2	4	2	1	1	5	2	1	1	5	DURHAM
2178	2020-04-18	1	1	1.27017	3	63	1	2	9	1																			0	1	2	9	2				IVR	1	1	518	1	5	2	2	1	5	1	3	1	4	1	3	3	1	1	1	3	1	5	3	ALAMANCE
4891	2020-04-18	1	1	2.6858	4	42	2	6	2	3	0	2	2	0	2	2	2	2	2	9	1	2	2	1	1	2	2	1	1	1	3	2	2	1	1	4	IVR	2	1	518	4	5	3	2	3	3	1	3	1	5	1	1	4	1	2	3	4	2	3	1	STOKES
4892	2020-04-18	2		1.43663	1	62	1	1	9	4	2	1		2	1	1			1	9		2	2	2	9	2	2	1	1	1	2	9	3	2	2	4	IVR	2																							
4893	2020-04-18	1	1	0.267293	3	72	1	2	9	0		2		0	1	2	2	2	2	4	1	2	2	1	1	1	2	1	0	1	2	9	1		1	3	IVR	2	1	517	1	5	3	3	1	3	1	2	1	5	1	1	3	1	1	1	2	1	4	4	ASHE
3633	2020-04-18	1	1	1.16213	2	53	1	1	9	1	1	2		0	2	2	2	2	2	9	1	2	9	1	1	2	2	1	1	1	2	9	2	2	1	4	IVR	1	1	575	2	5	3	3	3	3	2	2	2	4	2	2	3	1	2	2	4	1	4	1	CHEROKEE
4894	2020-04-18	1	1	0.312931	4	68	2		9	0		2		0	1	2	2	2	2	9	1	2	2	2	2	1	2		0	1		9	1		1	4	IVR	2	1	560	1	5	2	1	1	4	1	2	1	3	1	3	2	1	1	2	1	1	5	4	HARNETT
4895	2020-04-18	1	1	1.7623	3	57	2	2	9	1	1	2		0	1	2	2	2	2	4	1	2	2	3	1	2	2	1	0	1	2	9	2	2	1	3	IVR	2	1	560	1	5	3	3	1	4	1	5	1	4	1	4	2	1	2	1	2	1	5	1	WAKE
4896	2020-04-18	2		1.46435	2	60	1	1	0	4	4	2		0	1	1	1	2	2	9	1	2	9	3	1	2	2	2	1	2	2	9	3	3	1	4	IVR	2																							
4897	2020-04-18	1	1	0.312931	3	88	2	2	9	1	1	2		0	1	2	2	2	2	9	1	2	2	2	1	1	2	1	2	1	2	9	2	2	1	4	IVR	2	1	560	5	4	1	5	2	3	2	2	2	4	1	1	4	1	1	2	2	1	2	5	WAYNE
4898	2020-04-18	1	1	0.573737	3	66	1	2	9	0		2		0	1	2	2	2	1	9	1	2	9	1	1	2	2	1	1	1	2	9	1		1	4	IVR	2	1	517	4	5	1	3	1	4	1	2	2	3	1	3	2	1	1	3	3	1	3	4	RICHMOND
4899	2020-04-18	1	1	0.430899	3	81	1	1	9	5	0	1		0	2	2	2	2	2	9	1	2	2						0	2	2	9	3	1	1	4	IVR	2	2	544	5	5	1	5	3	4	2	3	4	2	1	4	3	1	1	5	2	1	1	5	CHOWAN
4900	2020-04-18	1	1	1.23563	4	55	1	2	9	1	1	2		0	1	2	2	2	2	9	1	2	2	2	2	2	2	2	1	2	2	9	2	2	1	4	IVR	2	2	518	5	4	1	3	3	3	3	3	5	2	1	4	2	1	1	5	4	1	1	1	FORSYTH
4901	2020-04-18	1	1	0.532681	2	75	1	4	9	0		2		0	2	2	2	2	2	5	1	2	2	2	1	2	2	2	1	2	3	9	1		1	3	IVR	2	2	560	5	5	1	3	3	3	3	2	4	3	2	3	4	1	1	5	2	1	1	4	SAMPSON
4902	2020-04-18	1	1	0.682211	4	54	1	5	9	9	9	1		8	1	2	2	2	2	9	1	1	2	2	2	1	2	3	0	3	3	9	4	4	4	4	IVR	2	4	517	5	5	3	3	5	1	4	5	5	2	2	4	2	1	1	5	4	2	1	1	MECKLENBURG
4903	2020-04-18	1	1	0.532681	3	78	1	1	5	0		2		1	2	2	2	2	2	9	1	2	2	1	1	2	2	2	1	2	2		1		2	4	IVR	2	2	560	5	5	1	3	2	5	2	1	5	4	3	4	2	1	1	5	2	1	1	5	CUMBERLAND
4904	2020-04-18	1	1	0.200747	3	67	1	2	0	0		2		0	1					9	1	2	2	1	2	1	2	2	2	2	2	9	1		1	4	IVR	2	2	545	5	5	1	3	4	4	3	4	4	3	2	1	4	1	1	5	4	1	1	4	DUPLIN
3757	2020-04-18	1	1	1.3868	1	63	2	4	9	1	1	2		1	1	2	2	2	2	9	1	2	2	2	2	2	2	2	2	2	3	9	2	2	2	4	IVR	1	2	545	5	5	1	3	4	4	4	2	4	2	2	4	2	1	1	5	4	1	1	2	ONSLOW
4905	2020-04-18	1	2	1.27017	4	61	1	1	9	9	9	1		4	1	1	1	1	1	9	1	2	9	2	1	2	2	1	1	1	2	9	4	4	3	4	IVR	2	1	518	3		3		2	3	1	1	3	3	2	3	2	1	1	2	3	1	3	1	
4906	2020-04-18	1	1	0.82102	3	49	2	6	3	0		1	2	1	1	2	2	2	2	3	1	2	9	1	1	1	2	1	1	1	3	3	1		2	2	IVR	2	1	560	5	5	3	5	5	2	4	5	5	2	2	3	1	1	1	5	5	3	1	1	WAKE
4907	2020-04-18	1	1	0.68466	3	70	2	2	9	1	0	2		1	1	1	2	2	2	5	1	2	2	1	1	2	2	2	2	2	2	9	2	1	2	3	IVR	2	2	517	5	5	1	3	4	4	2	2	4	2	2	3	2	1	1	5	4	1	1	4	MECKLENBURG
